action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,10902337,[],CHEMBL2040089,Displacement of Thioflavin S from recombinant human tau expressed in Escherichia coli after 30 mins by fluorescence assay,B,,,BAO_0000190,BAO_0000019,assay format,CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOCCF)cc3s2)cc1,,,CHEMBL2034855,ACS Med Chem Lett,2012,"{'bei': '15.24', 'le': '0.30', 'lle': '1.43', 'sei': '9.62'}",CHEMBL2036419,,CHEMBL2036419,6.59,0,http://www.openphacts.org/units/Nanomolar,1646400,=,1,1,=,,IC50,nM,,256.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,256.0
,,12135489,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)c1ccc(/C=C/c2cc(-c3ccccc3F)c(/C=C/c3ccc(N(C)C)cc3)nn2)cc1,,,CHEMBL2177056,J Med Chem,2012,"{'bei': '12.71', 'le': '0.23', 'lle': '-0.86', 'sei': '18.30'}",CHEMBL2181538,,CHEMBL2181538,5.90,0,http://www.openphacts.org/units/Nanomolar,1755044,=,1,1,=,,IC50,nM,,1251.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,1251.0
,,12135490,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2cc(/C=C/c3ccc(N(C)C)cc3)nnc2/C=C/c2ccc(N(C)C)cc2)cc1,,,CHEMBL2177056,J Med Chem,2012,"{'bei': '12.17', 'le': '0.22', 'lle': '-0.83', 'sei': '13.98'}",CHEMBL2181537,,CHEMBL2181537,5.80,0,http://www.openphacts.org/units/Nanomolar,1755043,=,1,1,=,,IC50,nM,,1591.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,1591.0
,Not Active,12135491,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1cccc1/C=C/c1cc(-c2ccccc2)c(/C=C/c2cccn2C)nn1,,,CHEMBL2177056,J Med Chem,2012,,CHEMBL2181536,,CHEMBL2181536,,0,,1755042,,1,0,,,IC50,,,,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,,,,
,,12135492,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,C(=C/c1cc(-c2ccccc2)c(/C=C/c2ccc(N3CCOCC3)cc2)nn1)\c1ccc(N2CCOCC2)cc1,,,CHEMBL2177056,J Med Chem,2012,"{'bei': '10.04', 'le': '0.18', 'lle': '-0.83', 'sei': '10.50'}",CHEMBL2181535,,CHEMBL2181535,5.33,0,http://www.openphacts.org/units/Nanomolar,1755041,=,1,1,=,,IC50,nM,,4707.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,4707.0
,Not Active,12135493,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)c1ccc(/C=C/c2cc(-c3ccccc3)c(/C=C/c3ccc(N(C)C)cc3)nn2)cc1,,,CHEMBL2177056,J Med Chem,2012,,CHEMBL2181534,,CHEMBL2181534,,0,,1755040,,1,0,,,IC50,,,,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,,,,
,,12135494,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)c1ccc(/C=C/C=C/c2cc(/C=C/C=C/c3ccc(N(C)C)cc3)ncn2)cc1,,,CHEMBL2177056,J Med Chem,2012,"{'bei': '20.59', 'le': '0.37', 'lle': '2.64', 'sei': '26.97'}",CHEMBL2181533,,CHEMBL2181533,8.70,0,http://www.openphacts.org/units/Nanomolar,1755039,=,1,1,=,,IC50,nM,,2.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,2.0
,,12135495,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,C(=C/c1cc(/C=C/c2ccc(N3CCCC3)cc2)ncn1)\c1ccc(N2CCCC2)cc1,,,CHEMBL2177056,J Med Chem,2012,"{'bei': '20.59', 'le': '0.37', 'lle': '2.68', 'sei': '26.97'}",CHEMBL2181532,,CHEMBL2181532,8.70,0,http://www.openphacts.org/units/Nanomolar,1755038,=,1,1,=,,IC50,nM,,2.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,2.0
,,12135496,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,C(=C/c1cc(/C=C/c2ccc(N3CCCCC3)cc2)ncn1)\c1ccc(N2CCCCC2)cc1,,,CHEMBL2177056,J Med Chem,2012,"{'bei': '17.24', 'le': '0.31', 'lle': '0.97', 'sei': '24.08'}",CHEMBL2181531,,CHEMBL2181531,7.77,0,http://www.openphacts.org/units/Nanomolar,1755037,=,1,1,=,,IC50,nM,,17.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,17.0
,,12135497,[],CHEMBL2187911,Displacement of thiazene red from tau aggregate,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(c2ccc(/C=C/c3cc(/C=C/c4ccc(N5CCN(C)CC5)cc4)ncn3)cc2)CC1,,,CHEMBL2177056,J Med Chem,2012,"{'bei': '10.67', 'le': '0.19', 'lle': '0.81', 'sei': '13.23'}",CHEMBL2181047,,CHEMBL2181047,5.13,0,http://www.openphacts.org/units/Nanomolar,1754411,=,1,1,=,,IC50,nM,,7469.0,CHEMBL1293224,Homo sapiens,Microtubule-associated protein tau,9606,,,IC50,nM,UO_0000065,,7469.0
