action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,3335816,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=c1c(-c2ccc(O)cc2)coc2cccc(OCC3CCCCC3)c12,,,CHEMBL1165948,Bioorg Med Chem,2010,"{'bei': '14.94', 'le': '0.28', 'lle': '0.12', 'sei': '8.78'}",CHEMBL1164199,,CHEMBL1164199,5.24,0,http://www.openphacts.org/units/Nanomolar,919720,=,1,1,=,,IC50,nM,,5800.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,5.8
,,3335817,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COCOc1ccc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)cc1,,,CHEMBL1165948,Bioorg Med Chem,2010,,CHEMBL1164200,,CHEMBL1164200,,0,http://www.openphacts.org/units/Nanomolar,919721,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,30.0
,,3335818,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)cc1,,,CHEMBL1165948,Bioorg Med Chem,2010,,CHEMBL1165285,,CHEMBL1165285,,0,http://www.openphacts.org/units/Nanomolar,919722,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,30.0
,,3335819,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)cc1OC,,,CHEMBL1165948,Bioorg Med Chem,2010,,CHEMBL1165286,,CHEMBL1165286,,0,http://www.openphacts.org/units/Nanomolar,919723,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,30.0
,,3335820,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)c(OC)c1,,,CHEMBL1165948,Bioorg Med Chem,2010,,CHEMBL1165801,,CHEMBL1165801,,0,http://www.openphacts.org/units/Nanomolar,918561,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,30.0
,,3335821,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)ccc1OCc1ccccc1,,,CHEMBL1165948,Bioorg Med Chem,2010,"{'bei': '10.11', 'le': '0.19', 'lle': '-2.25', 'sei': '8.22'}",CHEMBL1163986,,CHEMBL1163986,4.76,0,http://www.openphacts.org/units/Nanomolar,918562,=,1,1,=,,IC50,nM,,17400.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,17.4
,,3335822,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)ccc1O,,,CHEMBL1165948,Bioorg Med Chem,2010,,CHEMBL1163987,,CHEMBL1163987,,0,http://www.openphacts.org/units/Nanomolar,918563,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,30.0
,,3335823,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)c(OC)c1OC,,,CHEMBL1165948,Bioorg Med Chem,2010,"{'bei': '12.28', 'le': '0.23', 'lle': '-0.23', 'sei': '7.77'}",CHEMBL1163759,,CHEMBL1163759,5.21,0,http://www.openphacts.org/units/Nanomolar,918564,=,1,1,=,,IC50,nM,,6100.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,6.1
,,3335824,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1ccc(-c2coc3cccc(OCC4CCCCC4)c3c2=O)cc1,,,CHEMBL1165948,Bioorg Med Chem,2010,,CHEMBL1164394,,CHEMBL1164394,,0,http://www.openphacts.org/units/Nanomolar,918630,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,30.0
,,3335825,[],CHEMBL1166941,Inhibition of IL5-mediated proliferation of mouse Y16 cells by WST1 assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1ccc(/C=C2\Oc3cccc(OCC4CCCCC4)c3C2=O)cc1,,,CHEMBL1165948,Bioorg Med Chem,2010,,CHEMBL1163830,,CHEMBL1163830,,0,http://www.openphacts.org/units/Nanomolar,918631,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1163111,Mus musculus,Interleukin-5,10090,,,IC50,uM,UO_0000065,,30.0
