action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,33892,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '16.65', 'le': '0.33', 'lle': '5.41', 'sei': '7.10'}",CHEMBL80814,,CHEMBL80814,7.47,0,http://www.openphacts.org/units/Nanomolar,140729,=,1,1,=,,IC50,nM,,34.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,34.0
,,35115,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '18.52', 'le': '0.37', 'lle': '6.03', 'sei': '7.65'}",CHEMBL276119,,CHEMBL276119,8.05,0,http://www.openphacts.org/units/Nanomolar,140707,=,1,1,=,,IC50,nM,,9.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,9.0
,,35120,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '14.94', 'le': '0.32', 'lle': '3.21', 'sei': '8.02'}",CHEMBL78934,,CHEMBL78934,7.70,0,http://www.openphacts.org/units/Nanomolar,140739,=,1,1,=,,IC50,nM,,20.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,20.0
,,35125,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '17.73', 'le': '0.34', 'lle': '4.94', 'sei': '8.88'}",CHEMBL78369,,CHEMBL78369,8.52,0,http://www.openphacts.org/units/Nanomolar,140738,=,1,1,=,,IC50,nM,,3.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,3.0
,,35129,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '20.45', 'le': '0.41', 'lle': '6.24', 'sei': '7.39'}",CHEMBL514138,CGS-27023A,CHEMBL267178,8.05,1,http://www.openphacts.org/units/Nanomolar,140734,=,1,1,=,,IC50,nM,,9.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,9.0
,,37498,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '16.40', 'le': '0.32', 'lle': '5.08', 'sei': '6.99'}",CHEMBL80453,,CHEMBL80453,7.36,0,http://www.openphacts.org/units/Nanomolar,140726,=,1,1,=,,IC50,nM,,44.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,44.0
,,38775,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '15.54', 'le': '0.31', 'lle': '3.68', 'sei': '8.57'}",CHEMBL312432,,CHEMBL312432,8.22,0,http://www.openphacts.org/units/Nanomolar,140737,=,1,1,=,,IC50,nM,,6.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,6.0
,,39853,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '17.42', 'le': '0.34', 'lle': '5.24', 'sei': '7.89'}",CHEMBL306617,,CHEMBL306617,8.30,0,http://www.openphacts.org/units/Nanomolar,140723,=,1,1,=,,IC50,nM,,5.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,5.0
,,39858,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '19.16', 'le': '0.39', 'lle': '5.37', 'sei': '7.68'}",CHEMBL79111,,CHEMBL79111,7.37,0,http://www.openphacts.org/units/Nanomolar,140752,=,1,1,=,,IC50,nM,,43.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,43.0
,,41077,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '15.16', 'le': '0.30', 'lle': '4.66', 'sei': '8.02'}",CHEMBL78798,,CHEMBL78798,8.70,0,http://www.openphacts.org/units/Nanomolar,140755,=,1,1,=,,IC50,nM,,2.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,2.0
