action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,145526,[],CHEMBL820595,"Tested for inhibition of Tumor necrosis factor, alpha in THP cells",F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2ccc(N)cc2)n1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL344625,,CHEMBL344625,8.05,0,http://www.openphacts.org/units/Nanomolar,276241,=,1,1,=,,EC50,nM,,9.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,9.0
,,145527,[],CHEMBL820596,"Tested for inhibition of Tumor necrosis factor, alpha in human whole blood",F,,,BAO_0000188,BAO_0000221,tissue-based format,CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2ccc(N)cc2)n1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL344625,,CHEMBL344625,6.36,0,http://www.openphacts.org/units/Nanomolar,276241,=,1,1,=,,EC50,nM,,440.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,440.0
,,146619,[],CHEMBL820595,"Tested for inhibition of Tumor necrosis factor, alpha in THP cells",F,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cn1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL104991,,CHEMBL104991,7.72,0,http://www.openphacts.org/units/Nanomolar,276260,=,1,1,=,,EC50,nM,,19.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,19.0
,,146620,[],CHEMBL820596,"Tested for inhibition of Tumor necrosis factor, alpha in human whole blood",F,,,BAO_0000188,BAO_0000221,tissue-based format,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cn1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL104991,,CHEMBL104991,6.28,0,http://www.openphacts.org/units/Nanomolar,276260,=,1,1,=,,EC50,nM,,530.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,530.0
,,147839,[],CHEMBL820595,"Tested for inhibition of Tumor necrosis factor, alpha in THP cells",F,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3C[C@H](C)O[C@@H](C)C3)c3ccccc23)cc1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL143886,,CHEMBL143886,7.80,0,http://www.openphacts.org/units/Nanomolar,276249,=,1,1,=,,EC50,nM,,16.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,16.0
,,147840,[],CHEMBL820596,"Tested for inhibition of Tumor necrosis factor, alpha in human whole blood",F,,,BAO_0000188,BAO_0000221,tissue-based format,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3C[C@H](C)O[C@@H](C)C3)c3ccccc23)cc1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL143886,,CHEMBL143886,6.11,0,http://www.openphacts.org/units/Nanomolar,276249,=,1,1,=,,EC50,nM,,770.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,770.0
,,149011,[],CHEMBL820595,"Tested for inhibition of Tumor necrosis factor, alpha in THP cells",F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL344800,,CHEMBL344800,7.96,0,http://www.openphacts.org/units/Nanomolar,276243,=,1,1,=,,EC50,nM,,11.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,11.0
,,149012,[],CHEMBL820596,"Tested for inhibition of Tumor necrosis factor, alpha in human whole blood",F,,,BAO_0000188,BAO_0000221,tissue-based format,CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL344800,,CHEMBL344800,5.80,0,http://www.openphacts.org/units/Nanomolar,276243,=,1,1,=,,EC50,nM,,1600.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,1600.0
,,150156,[],CHEMBL820595,"Tested for inhibition of Tumor necrosis factor, alpha in THP cells",F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2ccccc2)n1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL318810,,CHEMBL318810,8.05,0,http://www.openphacts.org/units/Nanomolar,276258,=,1,1,=,,EC50,nM,,9.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,9.0
,,150157,[],CHEMBL820596,"Tested for inhibition of Tumor necrosis factor, alpha in human whole blood",F,,,BAO_0000188,BAO_0000221,tissue-based format,CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2ccccc2)n1,,,CHEMBL1145135,J Med Chem,2003,,CHEMBL318810,,CHEMBL318810,5.47,0,http://www.openphacts.org/units/Nanomolar,276258,=,1,1,=,,EC50,nM,,3400.0,CHEMBL1825,Homo sapiens,TNF-alpha,9606,,,EC50,nM,UO_0000065,,3400.0
