action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1610246,[],CHEMBL881762,Inhibitory concentration against Farnesoid X receptor; range from 50-100000,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,CHEMBL1140376,J Med Chem,2005,"{'bei': '12.80', 'le': '0.24', 'lle': '-0.64', 'sei': '11.72'}",CHEMBL410683,GUGGULSTERONE,CHEMBL410683,4.00,0,http://www.openphacts.org/units/Nanomolar,403108,=,1,1,=,,IC50,nM,,100000.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,nM,UO_0000065,,100000.0
,,1610259,[],CHEMBL881762,Inhibitory concentration against Farnesoid X receptor; range from 50-100000,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,CHEMBL1140376,J Med Chem,2005,"{'bei': '12.80', 'le': '0.24', 'lle': '-0.64', 'sei': '11.72'}",CHEMBL402063,E-GUGGULSTERONE,CHEMBL402063,4.00,0,http://www.openphacts.org/units/Nanomolar,403109,=,1,1,=,,IC50,nM,,100000.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,nM,UO_0000065,,100000.0
,,1793785,[],CHEMBL906990,Antagonist activity against FXR assessed as transactivation of luciferase reporter gene in CV1 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)OC[C@@]12CCC3C(C)(C)CCC[C@]3(C)C1C[C@@H](OC(C)=O)[C@@]1(C)C2CC=C2CO[C@@H](O)[C@@H]21,,,CHEMBL1137284,Bioorg Med Chem Lett,2006,,CHEMBL373765,,CHEMBL373765,5.09,0,http://www.openphacts.org/units/Nanomolar,619315,=,1,1,=,,IC50,nM,,8100.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,8.1
,,1793787,[],CHEMBL906990,Antagonist activity against FXR assessed as transactivation of luciferase reporter gene in CV1 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,CHEMBL1137284,Bioorg Med Chem Lett,2006,,CHEMBL410683,GUGGULSTERONE,CHEMBL410683,5.00,0,http://www.openphacts.org/units/Nanomolar,619320,=,1,1,=,,IC50,nM,,10000.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,10.0
,,1793788,[],CHEMBL906990,Antagonist activity against FXR assessed as transactivation of luciferase reporter gene in CV1 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)O[C@@H]1CC2[C@@]3(C)CCCC(C)(C)C3CC[C@@]2(C)C2CC=C3CO[C@@H](O)[C@@H]3[C@]21C,,,CHEMBL1137284,Bioorg Med Chem Lett,2006,,CHEMBL413656,,CHEMBL413656,4.09,0,http://www.openphacts.org/units/Nanomolar,619319,=,1,1,=,,IC50,nM,,81100.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,81.1
,,1793789,[],CHEMBL906990,Antagonist activity against FXR assessed as transactivation of luciferase reporter gene in CV1 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)OC[C@@]12CCC3C(C)(C)CCC[C@]3(C)C1C[C@@H](O)[C@@]1(C)C2CC=C2CO[C@@H](O)[C@@H]21,,,CHEMBL1137284,Bioorg Med Chem Lett,2006,,CHEMBL216782,,CHEMBL216782,4.60,0,http://www.openphacts.org/units/Nanomolar,619318,=,1,1,=,,IC50,nM,,25300.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,25.3
,,1793790,[],CHEMBL906990,Antagonist activity against FXR assessed as transactivation of luciferase reporter gene in CV1 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CO[C@@H]1OCC2=CCC3[C@]4(C)CCC5C(C)(C)CCC[C@]5(C)C4C[C@@H](O)[C@]3(C)[C@H]21,,,CHEMBL1137284,Bioorg Med Chem Lett,2006,,CHEMBL218308,,CHEMBL218308,4.61,0,http://www.openphacts.org/units/Nanomolar,619317,=,1,1,=,,IC50,nM,,24800.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,24.8
,,1793791,[],CHEMBL906990,Antagonist activity against FXR assessed as transactivation of luciferase reporter gene in CV1 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1(C)CCC[C@@]2(C)C1CC[C@]1(CO)C2C[C@@H](O)[C@@]2(C)C1CC=C1CO[C@@H](O)[C@@H]12,,,CHEMBL1137284,Bioorg Med Chem Lett,2006,,CHEMBL219377,,CHEMBL219377,4.19,0,http://www.openphacts.org/units/Nanomolar,619316,=,1,1,=,,IC50,nM,,64500.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,64.5
,,1939095,[],CHEMBL892390,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc4ccccc4c3)cc2Cl)c1,,,CHEMBL1147183,Bioorg Med Chem,2007,"{'bei': '7.42', 'le': '0.15', 'lle': '-5.92', 'sei': '6.41'}",CHEMBL231899,,CHEMBL231899,4.65,0,http://www.openphacts.org/units/Nanomolar,649103,=,1,1,=,,IC50,nM,,22200.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,22.2
,,1939096,[],CHEMBL892390,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc(-c4ccccc4)cc3)cc2Cl)c1,,,CHEMBL1147183,Bioorg Med Chem,2007,"{'bei': '6.85', 'le': '0.14', 'lle': '-6.61', 'sei': '6.16'}",CHEMBL398012,,CHEMBL398012,4.47,0,http://www.openphacts.org/units/Nanomolar,649104,=,1,1,=,,IC50,nM,,33900.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,33.9
,,1939097,[],CHEMBL892390,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1cccc(NC(=O)c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc4ccccc4c3)cc2Cl)c1,,,CHEMBL1147183,Bioorg Med Chem,2007,"{'bei': '8.38', 'le': '0.17', 'lle': '-4.25', 'sei': '5.31'}",CHEMBL234371,,CHEMBL234371,5.40,0,http://www.openphacts.org/units/Nanomolar,649106,=,1,1,=,,IC50,nM,,4000.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,4.0
,,1939098,[],CHEMBL892390,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1cccc(NC(=O)c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc(-c4ccccc4)cc3)cc2Cl)c1,,,CHEMBL1147183,Bioorg Med Chem,2007,"{'bei': '8.11', 'le': '0.16', 'lle': '-4.74', 'sei': '5.34'}",CHEMBL234747,,CHEMBL234747,5.43,0,http://www.openphacts.org/units/Nanomolar,649107,=,1,1,=,,IC50,nM,,3700.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,3.7
,,1939100,[],CHEMBL892390,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccccc3)cc2Cl)c1,,,CHEMBL1147183,Bioorg Med Chem,2007,"{'bei': '8.32', 'le': '0.17', 'lle': '-4.62', 'sei': '6.62'}",CHEMBL274652,,CHEMBL274652,4.80,0,http://www.openphacts.org/units/Nanomolar,649102,=,1,1,=,,IC50,nM,,15800.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,15.8
,,1947209,[],CHEMBL892390,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,B,,,BAO_0000190,BAO_0000219,cell-based format,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,CHEMBL1147183,Bioorg Med Chem,2007,"{'bei': '15.75', 'le': '0.29', 'lle': '0.28', 'sei': '14.41'}",CHEMBL410683,GUGGULSTERONE,CHEMBL410683,4.92,0,http://www.openphacts.org/units/Nanomolar,649110,=,1,1,=,,IC50,nM,,12000.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,12.0
,,2062050,[],CHEMBL943880,Antagonist activity at human FXR expressed in monkey CV1 cells after 24 hrs by ecdysone receptor response element-driven luciferase reporter assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1(C)CCC[C@]2(C)[C@H]3C[C@@H](O)[C@]4(C)[C@H]5COC(=O)C5=CC[C@H]4[C@]3(C)CC[C@@H]12,,,CHEMBL1141343,J Nat Prod,2007,,CHEMBL250263,,CHEMBL250263,4.50,0,http://www.openphacts.org/units/Nanomolar,684473,=,1,1,=,,IC50,nM,,31600.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,31.6
,,2062051,[],CHEMBL943880,Antagonist activity at human FXR expressed in monkey CV1 cells after 24 hrs by ecdysone receptor response element-driven luciferase reporter assay,F,,,BAO_0000190,BAO_0000219,cell-based format,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,CHEMBL1141343,J Nat Prod,2007,,CHEMBL402063,E-GUGGULSTERONE,CHEMBL402063,5.39,0,http://www.openphacts.org/units/Nanomolar,684474,=,1,1,=,,IC50,nM,,4100.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,4.1
,,2062052,[],CHEMBL943880,Antagonist activity at human FXR expressed in monkey CV1 cells after 24 hrs by ecdysone receptor response element-driven luciferase reporter assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)O[C@@H]1C[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]2(C)[C@@H]2CC=C3C(=O)O[C@@H](O)[C@@H]3[C@@]12C,,,CHEMBL1141343,J Nat Prod,2007,,CHEMBL269105,,CHEMBL269105,4.22,0,http://www.openphacts.org/units/Nanomolar,684472,=,1,1,=,,IC50,nM,,60400.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,60.4
,,2062053,[],CHEMBL943880,Antagonist activity at human FXR expressed in monkey CV1 cells after 24 hrs by ecdysone receptor response element-driven luciferase reporter assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1(C)CCC[C@]2(C)[C@H]3C[C@@H](O)[C@]4(C)[C@@H]5C(=CC[C@H]4[C@]3(C)CC[C@@H]12)C(=O)O[C@H]5O,,,CHEMBL1141343,J Nat Prod,2007,,CHEMBL399743,,CHEMBL399743,4.12,0,http://www.openphacts.org/units/Nanomolar,684471,=,1,1,=,,IC50,nM,,75000.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,75.0
,,2062054,[],CHEMBL943880,Antagonist activity at human FXR expressed in monkey CV1 cells after 24 hrs by ecdysone receptor response element-driven luciferase reporter assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CO[C@@H]1OC(=O)C2=CC[C@H]3[C@]4(C)CC[C@H]5C(C)(C)CCC[C@]5(C)[C@H]4C[C@@H](O)[C@]3(C)[C@H]21,,,CHEMBL1141343,J Nat Prod,2007,,CHEMBL251696,,CHEMBL251696,4.62,0,http://www.openphacts.org/units/Nanomolar,684470,=,1,1,=,,IC50,nM,,24000.0,CHEMBL2047,Homo sapiens,Bile acid receptor FXR,9606,,,IC50,uM,UO_0000065,,24.0
