action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,186319,[],CHEMBL662711,Inhibitory concentration against carbonic anhydrase,B,,,BAO_0000190,BAO_0000224,protein format,NS(=O)(=O)c1ccc(CSCc2ccc(C(=O)O)cc2)cc1,,,CHEMBL1148343,J Med Chem,2004,"{'bei': '20.97', 'le': '0.44', 'lle': '4.61', 'sei': '7.26'}",CHEMBL115647,,CHEMBL115647,7.08,0,http://www.openphacts.org/units/Nanomolar,221129,=,1,1,=,,IC50,nM,,84.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.084
,,204243,[],CHEMBL662711,Inhibitory concentration against carbonic anhydrase,B,,,BAO_0000190,BAO_0000224,protein format,NC(=O)CSCc1ccc(S(N)(=O)=O)cc1,,,CHEMBL1148343,J Med Chem,2004,"{'bei': '23.48', 'le': '0.52', 'lle': '6.06', 'sei': '5.92'}",CHEMBL117010,,CHEMBL117010,6.11,0,http://www.openphacts.org/units/Nanomolar,221130,=,1,1,=,,IC50,nM,,770.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.77
,,436359,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,NCCCCC(=O)Nc1nnc(S(N)(=O)=O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '22.75', 'le': '0.51', 'lle': '7.11', 'sei': '4.51'}",CHEMBL91302,,CHEMBL91302,6.36,0,http://www.openphacts.org/units/Nanomolar,166655,=,1,1,=,,IC50,nM,,440.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.44
,,438887,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,CCC(C)OC(=O)CCC(=O)Nc1nnc(S(N)(=O)=O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '19.12', 'le': '0.42', 'lle': '6.18', 'sei': '4.55'}",CHEMBL420799,,CHEMBL420799,6.43,0,http://www.openphacts.org/units/Nanomolar,166660,=,1,1,=,,IC50,nM,,370.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.37
,,440172,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,COC(=O)CCCCC(=O)Nc1nnc(S(N)(=O)=O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '20.59', 'le': '0.45', 'lle': '6.78', 'sei': '4.70'}",CHEMBL328270,,CHEMBL328270,6.64,0,http://www.openphacts.org/units/Nanomolar,166654,=,1,1,=,,IC50,nM,,230.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.23
,,442884,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,COC(=O)CC(=O)Nc1nnc(S(N)(=O)=O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '21.50', 'le': '0.48', 'lle': '7.34', 'sei': '4.26'}",CHEMBL329625,,CHEMBL329625,6.03,0,http://www.openphacts.org/units/Nanomolar,166664,=,1,1,=,,IC50,nM,,940.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.94
,,442965,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,CCCCCCCCCCCCOC(=O)CCC(=O)Nc1nnc(S(N)(=O)=O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '14.01', 'le': '0.30', 'lle': '2.91', 'sei': '4.45'}",CHEMBL91622,,CHEMBL91622,6.28,0,http://www.openphacts.org/units/Nanomolar,166667,=,1,1,=,,IC50,nM,,520.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.52
,,448316,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,NS(=O)(=O)c1nnc(NC(=O)CCCCC(=O)O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '20.38', 'le': '0.45', 'lle': '6.51', 'sei': '4.12'}",CHEMBL90857,,CHEMBL90857,6.28,0,http://www.openphacts.org/units/Nanomolar,166656,=,1,1,=,,IC50,nM,,520.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.52
,,449527,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,CCOC(=O)CCC(=O)Nc1nnc(S(N)(=O)=O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '19.90', 'le': '0.44', 'lle': '6.67', 'sei': '4.34'}",CHEMBL91131,,CHEMBL91131,6.14,0,http://www.openphacts.org/units/Nanomolar,166666,=,1,1,=,,IC50,nM,,730.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.73
,,452119,[],CHEMBL659668,Inhibition of Carbonic anhydrase enzyme in rabbits,B,,,BAO_0000190,BAO_0000224,protein format,CC(=O)Nc1nnc(S(N)(=O)=O)s1,,,CHEMBL1125487,J Med Chem,1992,"{'bei': '28.60', 'le': '0.67', 'lle': '7.22', 'sei': '5.53'}",CHEMBL20,ACETAZOLAMIDE,CHEMBL20,6.36,0,http://www.openphacts.org/units/Nanomolar,166661,=,1,1,=,,IC50,nM,,440.0,CHEMBL2095180,Homo sapiens,Carbonic anhydrase,9606,,,IC50,uM,UO_0000065,,0.44
