action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,106000,[],CHEMBL692723,Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],,,CHEMBL1126120,J Med Chem,1992.0,,CHEMBL175236,,CHEMBL1201373,7.54,0,http://www.openphacts.org/units/Nanomolar,215944,=,1,1,=,,IC50,nM,,29.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,29.0
,,108166,[],CHEMBL692723,Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,,CHEMBL1126120,J Med Chem,1992.0,,CHEMBL503,LOVASTATIN,CHEMBL503,7.43,0,http://www.openphacts.org/units/Nanomolar,215945,=,1,1,=,,IC50,nM,,37.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,37.0
,,116159,[],CHEMBL692723,Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H]12,,,CHEMBL1126120,J Med Chem,1992.0,,CHEMBL115307,,CHEMBL115307,5.85,0,http://www.openphacts.org/units/Nanomolar,215943,=,1,1,=,,IC50,nM,,1400.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,1400.0
,,117451,[],CHEMBL692723,Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],,,CHEMBL1126120,J Med Chem,1992.0,,CHEMBL487720,,CHEMBL1201391,7.92,0,http://www.openphacts.org/units/Nanomolar,215942,=,1,1,=,,IC50,nM,,12.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,12.0
,,117454,[],CHEMBL692723,Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CC[C@H](O)C[C@H](O)CC(=O)[O-])[C@@H]12.[Na+],,,CHEMBL1126120,J Med Chem,1992.0,,CHEMBL323880,,CHEMBL1206908,5.65,0,http://www.openphacts.org/units/Nanomolar,215946,=,1,1,=,,IC50,nM,,2220.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,2220.0
,,163408,[],CHEMBL692724,In vitro HMG-CoA reductase inhibitory activity to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line),B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],,,CHEMBL1134061,Bioorg Med Chem Lett,2001.0,"{'bei': '13.81', 'le': '0.27', 'lle': '3.42', 'sei': '4.72'}",CHEMBL690,PRAVASTATIN SODIUM,CHEMBL1144,5.86,0,http://www.openphacts.org/units/Nanomolar,32987,=,1,1,=,,IC50,nM,,1370.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,uM,UO_0000065,,1.37
,,347208,[],CHEMBL691976,Compound was evaluated for inhibitory activity against HMG-CoA reductase in bovine ocular cell preparation,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],,,CHEMBL1151030,Bioorg Med Chem Lett,1992.0,"{'bei': '12.10', 'le': '0.23', 'lle': '2.93', 'sei': '4.55'}",CHEMBL11804,,CHEMBL1204677,5.52,0,http://www.openphacts.org/units/Nanomolar,9705,=,1,1,=,,IC50,nM,,3000.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,3000.0
,,347209,[],CHEMBL691975,Compound was evaluated for inhibitory activity against HMG-CoA reductase in adrenal cell preparation,B,,,BAO_0000190,BAO_0000219,cell-based format,Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],,,CHEMBL1151030,Bioorg Med Chem Lett,1992.0,"{'bei': '12.70', 'le': '0.24', 'lle': '3.21', 'sei': '4.78'}",CHEMBL11804,,CHEMBL1204677,5.80,0,http://www.openphacts.org/units/Nanomolar,9705,=,1,1,=,,IC50,nM,,1600.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,1600.0
,,347212,[],CHEMBL692721,Compound was evaluated for inhibitory activity against HMG-CoA reductase in HepG2 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],,,CHEMBL1151030,Bioorg Med Chem Lett,1992.0,"{'bei': '12.87', 'le': '0.24', 'lle': '3.28', 'sei': '4.84'}",CHEMBL11804,,CHEMBL1204677,5.87,0,http://www.openphacts.org/units/Nanomolar,9705,=,1,1,=,,IC50,nM,,1340.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,1340.0
,,357056,[],CHEMBL692721,Compound was evaluated for inhibitory activity against HMG-CoA reductase in HepG2 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C([O-])C[C@H](O)C[C@H](O)/C=C/C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1cnnn1.[Na+],,,CHEMBL1151030,Bioorg Med Chem Lett,1992.0,"{'bei': '13.03', 'le': '0.25', 'lle': '3.25', 'sei': '4.75'}",CHEMBL11891,,CHEMBL1204678,5.76,0,http://www.openphacts.org/units/Nanomolar,9703,=,1,1,=,,IC50,nM,,1720.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,1720.0
,,369790,[],CHEMBL692721,Compound was evaluated for inhibitory activity against HMG-CoA reductase in HepG2 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nnnn1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],,,CHEMBL1151030,Bioorg Med Chem Lett,1992.0,"{'bei': '12.90', 'le': '0.24', 'lle': '3.07', 'sei': '4.85'}",CHEMBL276717,,CHEMBL1206462,5.89,0,http://www.openphacts.org/units/Nanomolar,9704,=,1,1,=,,IC50,nM,,1290.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,1290.0
,Not Determined,374055,[],CHEMBL692722,Compound was evaluated for inhibitory activity against HMG-CoA reductase in HepG2 cells; Not tested,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C([O-])C[C@H](O)C[C@H](O)/C=C/C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1nnnc1-c1ccccc1.[Na+],,,CHEMBL1151030,Bioorg Med Chem Lett,1992.0,,CHEMBL268767,,CHEMBL1206387,,0,http://www.openphacts.org/units/Nanomolar,9702,,1,0,,,IC50,nM,,,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,uM,UO_0000065,,
,,378181,[],CHEMBL692721,Compound was evaluated for inhibitory activity against HMG-CoA reductase in HepG2 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,,CHEMBL1151030,Bioorg Med Chem Lett,1992.0,"{'bei': '18.31', 'le': '0.35', 'lle': '3.21', 'sei': '10.17'}",CHEMBL503,LOVASTATIN,CHEMBL503,7.41,0,http://www.openphacts.org/units/Nanomolar,9701,=,1,1,=,,IC50,nM,,39.0,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,39.0
,,513027,[],CHEMBL692725,"Inhibition of cellular HMG-CoA reductase in cultures of hepatic cells (HEP G2, a human hepatoma cell line)",B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,Potential transcription error,"Values appear to be an order of magnitude different from previously reported, so units may be incorrect",CHEMBL1124968,J Med Chem,1990.0,,CHEMBL503,LOVASTATIN,CHEMBL503,,1,http://www.openphacts.org/units/Nanomolar,315907,=,1,1,=,,IC50,nM,,0.05,CHEMBL402,Homo sapiens,HMG-CoA reductase,9606,,,IC50,nM,UO_0000065,,0.05
