action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,72373,[],CHEMBL648529,Inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(N[C@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(=O)O,,,CHEMBL1126739,J Med Chem,1993,"{'bei': '27.28', 'le': '0.53', 'lle': '7.54', 'sei': '6.59'}",CHEMBL152758,,CHEMBL152758,7.05,0,http://www.openphacts.org/units/Nanomolar,110324,=,1,1,=,,IC50,nM,,90.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,0.09
,,77815,[],CHEMBL648529,Inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCC(=O)N1CCCC1C(=O)O)NO,,,CHEMBL1126739,J Med Chem,1993,"{'bei': '18.68', 'le': '0.37', 'lle': '4.95', 'sei': '4.02'}",CHEMBL291381,,CHEMBL291381,4.30,0,http://www.openphacts.org/units/Nanomolar,110335,=,1,1,=,,IC50,nM,,50000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,50.0
,,77816,[],CHEMBL648529,Inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H](NCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL1126739,J Med Chem,1993,"{'bei': '23.01', 'le': '0.45', 'lle': '6.50', 'sei': '5.26'}",CHEMBL358439,,CHEMBL358439,5.62,0,http://www.openphacts.org/units/Nanomolar,110333,=,1,1,=,,IC50,nM,,2400.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,2.4
,,83360,[],CHEMBL648529,Inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL1126739,J Med Chem,1993,"{'bei': '22.00', 'le': '0.42', 'lle': '7.68', 'sei': '6.71'}",CHEMBL1237,LISINOPRIL ANHYDROUS,CHEMBL1237,8.92,0,http://www.openphacts.org/units/Nanomolar,110325,=,1,1,=,,IC50,nM,,1.2,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,nM,UO_0000065,,1.2
,,87461,[],CHEMBL648529,Inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(CCC(=O)N1CCCC1C(=O)O)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1126739,J Med Chem,1993,,CHEMBL293213,,CHEMBL293213,,0,http://www.openphacts.org/units/Nanomolar,110323,=,1,1,=,,IC50,nM,,260000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,260.0
,,91429,[],CHEMBL648529,Inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H](CCC(=O)O)C(=O)N1CCCC1C(=O)O,,,CHEMBL1126739,J Med Chem,1993,"{'bei': '21.83', 'le': '0.43', 'lle': '4.75', 'sei': '5.59'}",CHEMBL62678,,CHEMBL62678,5.31,0,http://www.openphacts.org/units/Nanomolar,110334,=,1,1,=,,IC50,nM,,4900.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,4.9
,,104318,[],CHEMBL648529,Inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL1126739,J Med Chem,1993,"{'bei': '25.61', 'le': '0.49', 'lle': '7.79', 'sei': '8.34'}",CHEMBL577,ENALAPRILAT ANHYDROUS,CHEMBL577,8.92,1,http://www.openphacts.org/units/Nanomolar,110332,=,1,1,=,,IC50,nM,,1.2,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,nM,UO_0000065,,1.2
,,105277,[],CHEMBL644578,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000366,cell-free format,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1c1nn[nH]n1)c1ccccc1,,,CHEMBL1122915,J Med Chem,1985,"{'bei': '10.43', 'le': '0.19', 'lle': '2.41', 'sei': '3.85'}",CHEMBL10973,,CHEMBL10973,4.66,0,http://www.openphacts.org/units/Nanomolar,8031,=,1,1,=,,IC50,nM,,22000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,uM,UO_0000065,,22.0
,,106227,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,CC(=O)SCC1CCCN(CC(=O)O)C1=O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '16.31', 'le': '0.34', 'lle': '3.41', 'sei': '5.36'}",CHEMBL11795,,CHEMBL11795,4.00,0,http://www.openphacts.org/units/Nanomolar,9819,=,1,1,=,,IC50,nM,,100000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,0.0001
,,106228,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)CN1CCC(CS)C1=O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '28.70', 'le': '0.62', 'lle': '5.58', 'sei': '9.43'}",CHEMBL11507,,CHEMBL11507,5.43,0,http://www.openphacts.org/units/Nanomolar,9827,=,1,1,=,,IC50,nM,,3700.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,0.0000037
