action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,52073,[],CHEMBL647245,Binding affinity for Adenosine A2A receptor from rat striatal membranes using [3H]-CGH 21680,B,,,BAO_0000190,BAO_0000019,assay format,CCOC(=O)C1=C(c2ccccc2)Nc2cc(C)c(C(=O)OCC)cc2C1/C=C/c1ccccc1,,,CHEMBL1129441,J Med Chem,1996,"{'bei': '17.80', 'le': '0.32', 'lle': '1.95', 'sei': '12.88'}",CHEMBL340868,,CHEMBL340868,8.32,0,http://www.openphacts.org/units/Nanomolar,254724,=,1,1,=,,IC50,nM,,4.77,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,4.77
,,54591,[],CHEMBL647245,Binding affinity for Adenosine A2A receptor from rat striatal membranes using [3H]-CGH 21680,B,,,BAO_0000190,BAO_0000019,assay format,Nc1nc2ccc(Cl)cc2c2nc(-c3ccc(Br)o3)nn12,,,CHEMBL1129441,J Med Chem,1996,"{'bei': '17.21', 'le': '0.41', 'lle': '2.73', 'sei': '7.63'}",CHEMBL7266,,CHEMBL7266,6.28,0,http://www.openphacts.org/units/Nanomolar,254729,=,1,1,=,,IC50,nM,,531.0,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,531.0
,,64900,[],CHEMBL647245,Binding affinity for Adenosine A2A receptor from rat striatal membranes using [3H]-CGH 21680,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(-c2oc3ccc(Cl)cc3c(=O)c2Cl)c(OC(C)C)c1,,,CHEMBL1129441,J Med Chem,1996,,CHEMBL89093,,CHEMBL89093,,0,http://www.openphacts.org/units/Nanomolar,254725,>,1,1,>,,IC50,nM,,100.0,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,100.0
,,67377,[],CHEMBL647245,Binding affinity for Adenosine A2A receptor from rat striatal membranes using [3H]-CGH 21680,B,,,BAO_0000190,BAO_0000019,assay format,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,,,CHEMBL1129441,J Med Chem,1996,"{'bei': '29.69', 'le': '0.58', 'lle': '5.71', 'sei': '10.31'}",CHEMBL16687,CGS-15943,CHEMBL16687,8.48,0,http://www.openphacts.org/units/Nanomolar,254719,=,1,1,=,,IC50,nM,,3.3,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,3.3
,,143981,[],CHEMBL647246,Inhibitory activity against Adenosine A2a receptor binding site,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCn1c(=O)[nH]c2c(cnn2-c2cccc(Cl)c2)c1=N,,,CHEMBL1159189,Bioorg Med Chem Lett,1995,"{'bei': '14.84', 'le': '0.29', 'lle': '2.27', 'sei': '5.94'}",CHEMBL310377,,CHEMBL310377,4.72,0,http://www.openphacts.org/units/Nanomolar,142624,=,1,1,=,,IC50,nM,,19200.0,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,uM,UO_0000065,,19.2
,,189703,[],CHEMBL643708,Inhibition of [3H]ZM-241385 binding to adenosine A2A receptor(AR).,B,,,BAO_0000190,BAO_0000357,single protein format,CCCn1c(=O)c2nc(C3CCCCC3)[nH]c2n(Cc2ccc(S(=O)(=O)F)cc2)c1=O,,,CHEMBL1133597,J Med Chem,2000,,CHEMBL359066,,CHEMBL359066,,0,http://www.openphacts.org/units/Nanomolar,285152,>,1,1,>,,IC50,nM,,10.0,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,10.0
,,191016,[],CHEMBL643708,Inhibition of [3H]ZM-241385 binding to adenosine A2A receptor(AR).,B,,,BAO_0000190,BAO_0000357,single protein format,CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCCOC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,,,CHEMBL1133597,J Med Chem,2000,"{'bei': '17.61', 'le': '0.35', 'lle': '6.06', 'sei': '6.70'}",CHEMBL327708,,CHEMBL327708,8.92,0,http://www.openphacts.org/units/Nanomolar,285147,=,1,1,=,,IC50,nM,,1.2,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,1.2
,,200349,[],CHEMBL643708,Inhibition of [3H]ZM-241385 binding to adenosine A2A receptor(AR).,B,,,BAO_0000190,BAO_0000357,single protein format,CCCn1c(=O)c2nc(C3CCCCC3)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,,,CHEMBL1133597,J Med Chem,2000,"{'bei': '18.05', 'le': '0.36', 'lle': '6.56', 'sei': '6.90'}",CHEMBL144360,,CHEMBL144360,9.38,0,http://www.openphacts.org/units/Nanomolar,285150,=,1,1,=,,IC50,nM,,0.42,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,0.42
,,203987,[],CHEMBL643708,Inhibition of [3H]ZM-241385 binding to adenosine A2A receptor(AR).,B,,,BAO_0000190,BAO_0000357,single protein format,CCCn1c(=O)c2nc(C3CCCCC3)[nH]c2n(CCCc2ccc(S(=O)(=O)F)cc2)c1=O,,,CHEMBL1133597,J Med Chem,2000,,CHEMBL147156,,CHEMBL147156,,0,http://www.openphacts.org/units/Nanomolar,285151,>,1,1,>,,IC50,nM,,10.0,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,10.0
,,213411,[],CHEMBL643708,Inhibition of [3H]ZM-241385 binding to adenosine A2A receptor(AR).,B,,,BAO_0000190,BAO_0000357,single protein format,CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,,,CHEMBL1133597,J Med Chem,2000,"{'bei': '16.92', 'le': '0.33', 'lle': '6.12', 'sei': '6.29'}",CHEMBL321218,,CHEMBL321218,8.55,0,http://www.openphacts.org/units/Nanomolar,285149,=,1,1,=,,IC50,nM,,2.8,CHEMBL302,Rattus norvegicus,Adenosine A2a receptor,10116,,,IC50,nM,UO_0000065,,2.8
