action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32568,[],CHEMBL873935,In vitro inhibition of human recombinant collagenase-3 (Matrix metalloprotease-13),B,,,BAO_0000190,BAO_0000357,single protein format,CCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,,CHEMBL151539,,CHEMBL151539,,0,http://www.openphacts.org/units/Nanomolar,295494,<,1,1,<,,IC50,nM,,1.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,1.0
,,33781,[],CHEMBL873935,In vitro inhibition of human recombinant collagenase-3 (Matrix metalloprotease-13),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,,CHEMBL151718,,CHEMBL151718,,0,http://www.openphacts.org/units/Nanomolar,295467,<,1,1,<,,IC50,nM,,0.5,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,0.5
,,33787,[],CHEMBL873935,In vitro inhibition of human recombinant collagenase-3 (Matrix metalloprotease-13),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,,,CHEMBL1132553,J Med Chem,1999.0,,CHEMBL357728,,CHEMBL357728,,0,http://www.openphacts.org/units/Nanomolar,295484,<,1,1,<,,IC50,nM,,0.4,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,0.4
,,33793,[],CHEMBL873935,In vitro inhibition of human recombinant collagenase-3 (Matrix metalloprotease-13),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N2CC(NOC(C)(C)C)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '22.00', 'le': '0.45', 'lle': '7.87', 'sei': '7.27'}",CHEMBL348210,,CHEMBL348210,8.52,0,http://www.openphacts.org/units/Nanomolar,295489,=,1,1,=,,IC50,nM,,3.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,3.0
,,33893,[],CHEMBL717016,In vitro inhibitory activity against matrix metalloprotease-13.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '19.39', 'le': '0.38', 'lle': '6.64', 'sei': '8.27'}",CHEMBL80814,,CHEMBL80814,8.70,0,http://www.openphacts.org/units/Nanomolar,140729,=,1,1,=,,IC50,nM,,2.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,2.0
,,35017,[],CHEMBL873935,In vitro inhibition of human recombinant collagenase-3 (Matrix metalloprotease-13),B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '25.62', 'le': '0.52', 'lle': '8.79', 'sei': '7.79'}",CHEMBL346624,,CHEMBL346624,9.15,0,http://www.openphacts.org/units/Nanomolar,295469,=,1,1,=,,IC50,nM,,0.7,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,0.7
,,35116,[],CHEMBL717016,In vitro inhibitory activity against matrix metalloprotease-13.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '20.02', 'le': '0.40', 'lle': '6.68', 'sei': '8.27'}",CHEMBL276119,,CHEMBL276119,8.70,0,http://www.openphacts.org/units/Nanomolar,140707,=,1,1,=,,IC50,nM,,2.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,2.0
,,35121,[],CHEMBL717016,In vitro inhibitory activity against matrix metalloprotease-13.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '16.10', 'le': '0.34', 'lle': '3.81', 'sei': '8.65'}",CHEMBL78934,,CHEMBL78934,8.30,0,http://www.openphacts.org/units/Nanomolar,140739,=,1,1,=,,IC50,nM,,5.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,5.0
,,35126,[],CHEMBL717016,In vitro inhibitory activity against matrix metalloprotease-13.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '18.73', 'le': '0.36', 'lle': '5.42', 'sei': '9.38'}",CHEMBL78369,,CHEMBL78369,9.00,0,http://www.openphacts.org/units/Nanomolar,140738,=,1,1,=,,IC50,nM,,1.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,1.0
,,35130,[],CHEMBL717016,In vitro inhibitory activity against matrix metalloprotease-13.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '20.58', 'le': '0.41', 'lle': '6.29', 'sei': '7.44'}",CHEMBL514138,CGS-27023A,CHEMBL267178,8.10,1,http://www.openphacts.org/units/Nanomolar,140734,=,1,1,=,,IC50,nM,,8.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,8.0
,,36287,[],CHEMBL873935,In vitro inhibition of human recombinant collagenase-3 (Matrix metalloprotease-13),B,,,BAO_0000190,BAO_0000357,single protein format,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '24.68', 'le': '0.51', 'lle': '9.04', 'sei': '7.27'}",CHEMBL151591,,CHEMBL151591,8.52,0,http://www.openphacts.org/units/Nanomolar,295472,=,1,1,=,,IC50,nM,,3.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,3.0
,,37499,[],CHEMBL717016,In vitro inhibitory activity against matrix metalloprotease-13.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '18.72', 'le': '0.37', 'lle': '6.12', 'sei': '7.99'}",CHEMBL80453,,CHEMBL80453,8.40,0,http://www.openphacts.org/units/Nanomolar,140726,=,1,1,=,,IC50,nM,,4.0,CHEMBL280,Homo sapiens,Matrix metalloproteinase 13,9606,,,IC50,nM,UO_0000065,,4.0
