action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,15209217,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,NC(=O)c1cccc(NC(=O)C2CCC(=O)C2)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '20.96', 'le': '0.39', 'lle': '4.07', 'sei': '5.78'}",CHEMBL3414778,,CHEMBL3414778,5.16,0,http://www.openphacts.org/units/Nanomolar,2290185,=,1,1,=,,IC50,nM,,6900.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,6.9
,,15209218,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)CCCC(=O)Nc1cccc(C(N)=O)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '19.48', 'le': '0.37', 'lle': '3.36', 'sei': '5.42'}",CHEMBL3414777,,CHEMBL3414777,4.84,0,http://www.openphacts.org/units/Nanomolar,2290184,=,1,1,=,,IC50,nM,,14600.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,14.6
,,15209219,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)CCC(=O)Nc1cccc(C(N)=O)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '24.42', 'le': '0.46', 'lle': '4.63', 'sei': '6.41'}",CHEMBL3414776,,CHEMBL3414776,5.72,0,http://www.openphacts.org/units/Nanomolar,2290183,=,1,1,=,,IC50,nM,,1900.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,1.9
,,15209220,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,COC(=O)/C=C\C(=O)Nc1cccc(C(N)=O)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '24.56', 'le': '0.46', 'lle': '5.65', 'sei': '6.19'}",CHEMBL3414775,,CHEMBL3414775,6.10,0,http://www.openphacts.org/units/Nanomolar,2290182,=,1,1,=,,IC50,nM,,800.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,0.8
,,15209221,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,CCN(CC)C(=O)/C=C\C(=O)Nc1cccc(C(N)=O)c1,,,CHEMBL3414457,Eur J Med Chem,2015,,CHEMBL3414774,,CHEMBL3414774,,0,http://www.openphacts.org/units/Nanomolar,2290181,>,1,1,>,,IC50,nM,,20000.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,20.0
,,15209222,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,NC(=O)c1cccc(NC(=O)/C=C\C(=O)N2CCCC2)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '18.58', 'le': '0.35', 'lle': '4.44', 'sei': '5.77'}",CHEMBL3414773,,CHEMBL3414773,5.34,0,http://www.openphacts.org/units/Nanomolar,2290180,=,1,1,=,,IC50,nM,,4600.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,4.6
,,15209223,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,CNC(=O)/C=C/C(=O)Nc1cccc(C(N)=O)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '22.96', 'le': '0.43', 'lle': '5.65', 'sei': '5.61'}",CHEMBL3414772,,CHEMBL3414772,5.68,0,http://www.openphacts.org/units/Nanomolar,2290179,=,1,1,=,,IC50,nM,,2100.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,2.1
,,15209224,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,CNC(=O)/C=C\C(=O)Nc1cccc(C(N)=O)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '23.05', 'le': '0.43', 'lle': '5.67', 'sei': '5.63'}",CHEMBL3414771,,CHEMBL3414771,5.70,0,http://www.openphacts.org/units/Nanomolar,2290178,=,1,1,=,,IC50,nM,,2000.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,2.0
,,15209225,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,NC(=O)c1cccc(NC(=O)CCCC(=O)O)c1,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '20.50', 'le': '0.39', 'lle': '4.15', 'sei': '4.69'}",CHEMBL3414770,,CHEMBL3414770,5.13,0,http://www.openphacts.org/units/Nanomolar,2290177,=,1,1,=,,IC50,nM,,7400.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,7.4
,,15209226,[],CHEMBL3420113,Inhibition of hexahistidine-tagged full length human recombinant ARTD10 expressed in Escherichia coli BL21(DE3) assessed as Inhibition of ADP-ribosyltransferase activity incubated for 15 mins using biotin-NAD+ by chemiluminescence detection based assay,B,,,BAO_0000190,BAO_0000019,assay format,CC1=C(C)C(=O)N(c2cccc(C(N)=O)c2)C1=O,,,CHEMBL3414457,Eur J Med Chem,2015,"{'bei': '23.01', 'le': '0.43', 'lle': '4.62', 'sei': '6.98'}",CHEMBL3414769,,CHEMBL3414769,5.62,0,http://www.openphacts.org/units/Nanomolar,2290176,=,1,1,=,,IC50,nM,,2400.0,CHEMBL2429708,Homo sapiens,Poly [ADP-ribose] polymerase 10,9606,,,IC50,uM,UO_0000065,,2.4
