action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,10978896,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,c1ccc2c(c1)Nc1ccccc1S2,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '23.01', 'le': '0.45', 'lle': '0.70', 'sei': '38.11'}",CHEMBL828,PHENOTHIAZINE,CHEMBL828,4.58,0,http://www.openphacts.org/units/Nanomolar,1659761,=,1,1,=,,IC50,nM,,26000.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,26000.0
,,10978897,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)CCC(=O)NN1c2ccccc2Sc2cc(Cl)ccc21,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '13.18', 'le': '0.27', 'lle': '0.66', 'sei': '12.89'}",CHEMBL1629795,,CHEMBL1629795,4.58,0,http://www.openphacts.org/units/Nanomolar,1659762,=,1,1,=,,IC50,nM,,26000.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,26000.0
,,10978898,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN1CCN(NCCN2c3ccccc3Sc3ccccc32)CC1.Cl.Cl,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '14.08', 'le': '0.27', 'lle': '1.76', 'sei': '22.05'}",CHEMBL3142202,,CHEMBL1739015,4.80,0,http://www.openphacts.org/units/Nanomolar,1659763,=,1,1,=,,IC50,nM,,16000.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,16000.0
,,10978899,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)Sc1cc(OC)ccc1N2,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '24.27', 'le': '0.48', 'lle': '2.38', 'sei': '20.65'}",CHEMBL2063785,,CHEMBL2063785,6.29,0,http://www.openphacts.org/units/Nanomolar,1659764,=,1,1,=,,IC50,nM,,507.1,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,507.1
,,10978900,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)Sc1cc(C#N)ccc1N2,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '22.97', 'le': '0.44', 'lle': '2.06', 'sei': '12.97'}",CHEMBL2063786,,CHEMBL2063786,5.84,0,http://www.openphacts.org/units/Nanomolar,1659765,=,1,1,=,,IC50,nM,,1440.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,1440.0
,,10978901,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)Sc1cc([N+](=O)[O-])ccc1N2,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '25.06', 'le': '0.49', 'lle': '3.06', 'sei': '10.67'}",CHEMBL2063787,,CHEMBL2063787,6.87,0,http://www.openphacts.org/units/Nanomolar,1659766,=,1,1,=,,IC50,nM,,133.7,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,133.7
,,10978902,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=[N+]([O-])c1ccc2c(c1)Sc1ccccc1N2,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '25.85', 'le': '0.51', 'lle': '2.51', 'sei': '11.45'}",CHEMBL1976750,,CHEMBL1976750,6.31,0,http://www.openphacts.org/units/Nanomolar,1659767,=,1,1,=,,IC50,nM,,485.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,485.0
,,10978903,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=[N+]([O-])c1ccc2c(c1)Sc1cc(Br)ccc1N2,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '20.12', 'le': '0.49', 'lle': '1.93', 'sei': '11.79'}",CHEMBL2063788,,CHEMBL2063788,6.50,0,http://www.openphacts.org/units/Nanomolar,1659768,=,1,1,=,,IC50,nM,,313.8,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,313.8
,,10978904,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=[N+]([O-])c1ccc2c(c1)Sc1cc(I)ccc1N2,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '17.17', 'le': '0.48', 'lle': '1.95', 'sei': '11.52'}",CHEMBL2063789,,CHEMBL2063789,6.36,0,http://www.openphacts.org/units/Nanomolar,1659769,=,1,1,=,,IC50,nM,,441.5,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,441.5
,,10978905,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)Sc1cc([N+](=O)[O-])ccc1N2C,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '15.36', 'le': '0.30', 'lle': '0.59', 'sei': '7.96'}",CHEMBL2063790,,CHEMBL2063790,4.43,0,http://www.openphacts.org/units/Nanomolar,1659770,=,1,1,=,,IC50,nM,,37327.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,37327.0
,,10978906,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)Sc1cc(N)ccc1N2C,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '20.92', 'le': '0.41', 'lle': '1.90', 'sei': '14.04'}",CHEMBL2063791,,CHEMBL2063791,5.41,0,http://www.openphacts.org/units/Nanomolar,1659771,=,1,1,=,,IC50,nM,,3928.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,3928.0
,,10978907,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ccc2c(c1)Sc1cc(OC)ccc1N2C,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '20.11', 'le': '0.39', 'lle': '1.51', 'sei': '22.36'}",CHEMBL2063792,,CHEMBL2063792,5.48,0,http://www.openphacts.org/units/Nanomolar,1659772,=,1,1,=,,IC50,nM,,3329.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,3329.0
,,10978908,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)Sc1cc(N(C)C)ccc1N2C,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '17.35', 'le': '0.34', 'lle': '0.98', 'sei': '31.63'}",CHEMBL2063793,,CHEMBL2063793,4.97,0,http://www.openphacts.org/units/Nanomolar,1659773,=,1,1,=,,IC50,nM,,10736.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,10736.0
,,10978909,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)Sc1cc([N+](=O)[O-])ccc1N2C(C)=O,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '15.34', 'le': '0.30', 'lle': '1.10', 'sei': '6.68'}",CHEMBL2063794,,CHEMBL2063794,4.85,0,http://www.openphacts.org/units/Nanomolar,1659774,=,1,1,=,,IC50,nM,,14031.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,14031.0
,,10978910,[],CHEMBL2065090,Binding affinity to human alpha-synuclein expressed in Escherichia coli BL21 (DE3) cells after 1 hr by thioflavin T fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)N1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,,,CHEMBL2062425,Bioorg Med Chem,2012,"{'bei': '16.17', 'le': '0.32', 'lle': '0.89', 'sei': '7.30'}",CHEMBL2063795,,CHEMBL2063795,4.63,0,http://www.openphacts.org/units/Nanomolar,1659775,=,1,1,=,,IC50,nM,,23491.0,CHEMBL6152,Homo sapiens,Alpha-synuclein,9606,,,IC50,nM,UO_0000065,,23491.0
