action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32669,[],CHEMBL647746,Inhibition of human androgen receptor at 10e-12 to 10e-5 M,B,,,BAO_0000190,BAO_0000357,single protein format,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,,,CHEMBL1145087,J Med Chem,2003,"{'bei': '17.12', 'le': '0.33', 'lle': '-0.38', 'sei': '31.36'}",CHEMBL134277,,CHEMBL134277,6.67,0,http://www.openphacts.org/units/Nanomolar,253290,=,1,1,=,,IC50,nM,,215.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,215.0
,,37515,[],CHEMBL647749,Inhibition of 1.0 nM [3H]mibolerone binding to human androgen receptor of PC3/AR cell lysate,B,,,BAO_0000190,BAO_0000219,cell-based format,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCc1ccc(O)c(C(N)=O)c1,,,CHEMBL1145911,J Med Chem,2003,"{'bei': '13.31', 'le': '0.26', 'lle': '3.95', 'sei': '4.87'}",CHEMBL146794,,CHEMBL146794,7.11,0,http://www.openphacts.org/units/Nanomolar,292353,=,1,1,=,,IC50,nM,,77.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,77.0
,,42305,[],CHEMBL647749,Inhibition of 1.0 nM [3H]mibolerone binding to human androgen receptor of PC3/AR cell lysate,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1C[C@H](NCNC(=O)c2cc(COCC#CCN3C(=O)N(c4ccc(C#N)c(C(F)(F)F)c4)C(=O)C3(C)C)ccc2O)[C@H](O)[C@H](C)O1,,,CHEMBL1145911,J Med Chem,2003,"{'bei': '6.58', 'le': None, 'lle': None, 'sei': None}",CHEMBL2112885,,CHEMBL2112885,7.05,0,http://www.openphacts.org/units/Nanomolar,292356,=,1,1,=,,IC50,nM,,90.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,90.0
,,45856,[],CHEMBL647746,Inhibition of human androgen receptor at 10e-12 to 10e-5 M,B,,,BAO_0000190,BAO_0000357,single protein format,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1N(C)C)Oc1ccc(F)cc1-3,,,CHEMBL1145087,J Med Chem,2003,"{'bei': '13.65', 'le': '0.25', 'lle': '-1.24', 'sei': '23.77'}",CHEMBL336353,,CHEMBL336353,5.82,0,http://www.openphacts.org/units/Nanomolar,253301,=,1,1,=,,IC50,nM,,1500.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,1500.0
,,47124,[],CHEMBL647746,Inhibition of human androgen receptor at 10e-12 to 10e-5 M,B,,,BAO_0000190,BAO_0000357,single protein format,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1c(F)cccc1-3,,,CHEMBL1145087,J Med Chem,2003,"{'bei': '15.77', 'le': '0.28', 'lle': '-0.94', 'sei': '28.44'}",CHEMBL413309,,CHEMBL413309,6.05,0,http://www.openphacts.org/units/Nanomolar,253313,=,1,1,=,,IC50,nM,,900.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,900.0
,,47135,[],CHEMBL647749,Inhibition of 1.0 nM [3H]mibolerone binding to human androgen receptor of PC3/AR cell lysate,B,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1ccccc1O,,,CHEMBL1145911,J Med Chem,2003,,CHEMBL27577,SALICYLAMIDE,CHEMBL27577,,0,http://www.openphacts.org/units/Nanomolar,292357,>,1,1,>,,IC50,nM,,1000.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,1000.0
,,48440,[],CHEMBL647746,Inhibition of human androgen receptor at 10e-12 to 10e-5 M,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,CHEMBL1145087,J Med Chem,2003,"{'bei': '21.25', 'le': '0.40', 'lle': '3.55', 'sei': '13.59'}",CHEMBL717,MEDROXYPROGESTERONE ACETATE,CHEMBL717,8.21,1,http://www.openphacts.org/units/Nanomolar,253311,=,1,1,=,,IC50,nM,,6.1,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,6.1
,,49825,[],CHEMBL647749,Inhibition of 1.0 nM [3H]mibolerone binding to human androgen receptor of PC3/AR cell lysate,B,,,BAO_0000190,BAO_0000219,cell-based format,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCCOCc1ccc(O)c(C(N)=O)c1,,,CHEMBL1145911,J Med Chem,2003,"{'bei': '11.20', 'le': '0.22', 'lle': '3.30', 'sei': '4.17'}",CHEMBL348495,,CHEMBL348495,6.48,0,http://www.openphacts.org/units/Nanomolar,292354,=,1,1,=,,IC50,nM,,332.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,332.0
,,49827,[],CHEMBL647749,Inhibition of 1.0 nM [3H]mibolerone binding to human androgen receptor of PC3/AR cell lysate,B,,,BAO_0000190,BAO_0000219,cell-based format,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCN1CCN(CCOCc2ccc(O)c(C(N)=O)c2)CC1,,,CHEMBL1145911,J Med Chem,2003,"{'bei': '9.99', 'le': '0.19', 'lle': '3.68', 'sei': '4.23'}",CHEMBL347556,,CHEMBL347556,6.46,0,http://www.openphacts.org/units/Nanomolar,292359,=,1,1,=,,IC50,nM,,346.0,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,346.0
,,53655,[],CHEMBL647746,Inhibition of human androgen receptor at 10e-12 to 10e-5 M,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,,,CHEMBL1145087,J Med Chem,2003,,CHEMBL335996,,CHEMBL335996,,0,http://www.openphacts.org/units/Nanomolar,253295,=,1,0,=,,IC50,nM,,,CHEMBL1871,Homo sapiens,Androgen Receptor,9606,,,IC50,nM,UO_0000065,,
