action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,271228,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL57323,,CHEMBL57323,,0,http://www.openphacts.org/units/Nanomolar,133216,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,271233,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC(C)(C)C)nc3n2)CC1,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL57347,,CHEMBL57347,,0,http://www.openphacts.org/units/Nanomolar,133217,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,271240,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(C)c(-c2cc3cnc(NCCCN4CCN(C)CC4)nc3nc2NC(=O)NC(C)(C)C)c1C,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL75188,,CHEMBL75188,,0,http://www.openphacts.org/units/Nanomolar,133218,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,273533,[],CHEMBL699142,Inhibition of insulin receptor autophosphorylation,B,,,BAO_0000190,BAO_0000357,single protein format,O=P(O)(O)C(O)c1ccc2ccccc2c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1125830,J Med Chem,1991,,CHEMBL26001,,CHEMBL26001,,0,http://www.openphacts.org/units/Nanomolar,64861,=,1,1,=,,IC50,nM,,200000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,200.0
,,278590,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1ccccc1,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL76599,,CHEMBL76599,,0,http://www.openphacts.org/units/Nanomolar,133210,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,278595,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL299026,,CHEMBL299026,,0,http://www.openphacts.org/units/Nanomolar,133213,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,283236,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL299763,,CHEMBL299763,,0,http://www.openphacts.org/units/Nanomolar,133215,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,284489,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL45827,,CHEMBL45827,,0,http://www.openphacts.org/units/Nanomolar,133220,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,288016,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL56236,,CHEMBL56236,,0,http://www.openphacts.org/units/Nanomolar,133212,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,295511,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL57366,,CHEMBL57366,,0,http://www.openphacts.org/units/Nanomolar,133211,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
,,296904,[],CHEMBL699131,Inhibition of insulin receptor (InsR) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,,,CHEMBL1130094,J Med Chem,1997,,CHEMBL432738,,CHEMBL432738,,0,http://www.openphacts.org/units/Nanomolar,133214,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,50.0
