action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,3084439,[],CHEMBL1073302,Inhibition of INSR,B,,,BAO_0000190,BAO_0000357,single protein format,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,,,CHEMBL1153138,Bioorg Med Chem Lett,2010,,CHEMBL590109,,CHEMBL590109,,0,http://www.openphacts.org/units/Nanomolar,871256,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,uM,UO_0000065,,10.0
,,3590791,[],CHEMBL1292132,Inhibition of human InsRR,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1287713,Bioorg Med Chem Lett,2010,,CHEMBL1290072,,CHEMBL1290072,,0,http://www.openphacts.org/units/Nanomolar,975530,=,1,1,=,,IC50,nM,,182000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,uM,UO_0000065,,182.0
,,6274563,[],CHEMBL1806289,Inhibition of IRR,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12,,,CHEMBL1800061,J Med Chem,2010,"{'bei': '14.90', 'le': '0.28', 'lle': '4.15', 'sei': '5.00'}",CHEMBL1234833,,CHEMBL1234833,5.75,0,http://www.openphacts.org/units/Nanomolar,1441227,=,1,1,=,,IC50,nM,,1800.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,nmol/L,UO_0000065,,1800.0
,,7959807,[],CHEMBL1932878,Inhibition of IRR,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,,,CHEMBL1926590,Bioorg Med Chem Lett,2011,,CHEMBL1929238,,CHEMBL1929238,,0,http://www.openphacts.org/units/Nanomolar,1566418,>,1,1,>,,IC50,nM,,30000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,uM,UO_0000065,,30.0
,,7959808,[],CHEMBL1932878,Inhibition of IRR,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,,CHEMBL1926590,Bioorg Med Chem Lett,2011,,CHEMBL103667,DORAMAPIMOD,CHEMBL103667,,0,http://www.openphacts.org/units/Nanomolar,1566420,>,1,1,>,,IC50,nM,,30000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,uM,UO_0000065,,30.0
,,16431868,[],CHEMBL3748222,Inhibition of human IRR using MBP as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,,,CHEMBL3745707,Bioorg Med Chem,2016,,CHEMBL3745885,,CHEMBL3745885,,0,http://www.openphacts.org/units/Nanomolar,2741358,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,uM,UO_0000065,,10.0
,,18665406,[],CHEMBL4233341,Inhibition of IRR (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1cccc(OCCCN2CCNCC2)c1)Nc1nc(-c2ccncc2)cs1,,,CHEMBL4229420,Bioorg Med Chem Lett,2018,,CHEMBL4245507,,CHEMBL4245507,,0,http://www.openphacts.org/units/Nanomolar,3100083,>,1,1,>,,IC50,nM,,1000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,nM,UO_0000065,,1000.0
,,18938952,[],CHEMBL4328456,Inhibition of human IRR using MBP as substrate by [gamma-33P]-ATP assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,CHEMBL4325871,Eur J Med Chem,2019,"{'bei': '16.77', 'le': '0.31', 'lle': '3.47', 'sei': '11.27'}",CHEMBL388978,STAUROSPORINE,CHEMBL388978,7.82,0,http://www.openphacts.org/units/Nanomolar,3159540,=,1,1,=,,IC50,nM,,15.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,10'-8M,UO_0000065,,1.5
,,19147892,[],CHEMBL4379366,Inhibition of human recombinant IRR (943 to 1266 residues) using myelin basic protein as substrate after 40 mins by [gamma-33ATP] by radiometric scintillation counting analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,,,CHEMBL4376834,J Med Chem,2019,,CHEMBL4438748,,CHEMBL4438748,,0,http://www.openphacts.org/units/Nanomolar,3195750,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,uM,UO_0000065,,10.0
,,20600553,[],CHEMBL4603505,Inhibition of recombinant human GST-tagged INSRR cytoplasmic domain expressed in baculovirus expression system using tyrosine-1 peptide as substrate incubated for 60 mins in presence of ATP by Z'-LYTE assay,B,,,BAO_0000190,BAO_0000019,assay format,C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,,,CHEMBL4602617,Bioorg Med Chem Lett,2020,,CHEMBL4634634,,CHEMBL4634634,,0,http://www.openphacts.org/units/Nanomolar,3465297,>,1,1,>,,IC50,nM,,100000.0,CHEMBL5483,Homo sapiens,Insulin receptor-related protein,9606,,,IC50,uM,UO_0000065,,100.0
